mode,load,0_squeezenet1_1-4,1_squeezenet1_1-4,2_squeezenet1_1-4,3_squeezenet1_1-4
mig,0.1,10.340595245361316,10.285797119140625,10.496890544891357,8.323431015014648
mig,0.2,12.877833843231203,12.525916099548333,13.133544921874986,11.114177703857415
mig,0.3,11.370859146118164,11.27722024917602,11.046004295349118,12.050790786743148
mig,0.4,10.046126842498806,11.734247207641598,10.314581394195551,14.879100322723383
mig,0.5,13.840508460998553,13.880729675292969,15.470018386840819,19.328904151916426
mig,0.6,23.156418800354025,30.70877075195288,21.291375160217235,22.904605865478526
mig,0.7,55.054969787597656,78.13771247863777,68.04651021957395,34.611663818359375
mig,0.8,144.53996658325192,103.89268159866327,90.7734131813048,84.66905355453491
mig,0.9,249.68440055847148,218.8252687454224,289.33592319488525,175.39366245269773
mig,1.0,2044.8972678184507,2697.6772594451904,2444.608645439148,2178.837757110596
