mode,load,0_squeezenet1_1-4,1_squeezenet1_1-4,2_squeezenet1_1-4,3_squeezenet1_1-4
mig,0.1,230.12297622297694,233.69428709597707,233.0001004427383,134.64096177005837
mig,0.2,470.8764344998046,464.79843971542664,446.7442650377983,281.86027198774593
mig,0.3,681.2797380125501,683.2887979999034,662.5359229040502,403.8617678310633
mig,0.4,911.2778226701926,918.2387409436386,907.1749005682881,552.0138973941155
mig,0.5,1140.7780873668055,1133.3721989320863,1145.2929276361958,682.2610340223707
mig,0.6,1390.508992957103,1360.6711553379669,1374.998493378774,826.8710328475659
mig,0.7,1607.2339839881165,1622.1482547448395,1598.2552127964884,957.8679445498288
mig,0.8,1850.8191194401209,1796.4674083526563,1791.1820516176288,1077.7393631947255
mig,0.9,2046.4179034510828,2048.5667290448187,2036.851882712938,1237.3252788331692
mig,1.0,2188.239885487498,2164.038094301395,2179.790544181438,1312.8852831217332
