mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,1.0,0.0059604644775390625,0.0040531158447265625,0.0019073486328125
mig,1.0,0.0007152557373046875,0.003814697265625,0.000476837158203125
