mode,load,0_mobilenet_v3_large-32,1_efficientnet_b6-4,2_vgg19-8
mps-uncap,1.0,18.861801624298096,50.843191146850586,11.752119064331056
mig,1.0,12.379698753356937,20.1528000831604,23.785753250122074
