mode,load,0_densenet161-4,1_mobilenet_v3_large-32,2_vgg19-32
mps-uncap,0.8,100.75807571411133,34.843542575836196,31.005334854125973
mps-uncap,0.9,104.84610557556147,35.60624122619628,30.2485704421997
mps-uncap,1.0,103.19590568542478,35.64440965652466,29.946281909942627
mps-uncap,0.5,88.70866298675537,32.110974788665786,30.904340744018555
mps-uncap,0.6,95.36788463592526,31.54327154159546,31.423406600952145
mps-uncap,0.7,96.83064222335814,33.45358610153198,30.804090499877926
mps-uncap,0.1,51.61576271057129,34.305386543273926,38.99526596069336
mps-uncap,0.2,62.08259582519528,31.0184907913208,31.2334680557251
mps-uncap,0.3,65.87895870208739,30.724334716796868,30.05289077758789
mps-uncap,0.4,83.78437995910646,31.09903335571289,30.581045150756836
