mode,load,0_densenet201-2,1_mobilenet_v2-4,2_mobilenet_v3_large-8
mps-uncap,0.8,21.001100540161133,4.1904449462890625,5.069971084594727
mps-uncap,0.9,21.016359329223633,4.070043563842773,5.02777099609375
mps-uncap,1.0,20.934104919433594,4.141092300415039,5.147218704223633
mps-uncap,0.5,20.452260971069336,4.050254821777344,4.906177520751953
mps-uncap,0.6,20.534276962280273,4.052162170410156,5.034685134887695
mps-uncap,0.7,20.752429962158203,4.091978073120117,4.914522171020508
mps-uncap,0.1,20.69854736328125,4.063606262207031,4.981517791748047
mps-uncap,0.2,20.74909210205078,4.047393798828125,4.830837249755859
mps-uncap,0.3,20.55072784423828,3.9832592010498047,4.8389434814453125
mps-uncap,0.4,20.532846450805664,4.066228866577148,4.902839660644531
