mode,load,0_densenet201-2,1_mobilenet_v2-4,2_mobilenet_v3_large-8
mps-uncap,0.8,21.210384368896484,4.324579238891602,5.164384841918945
mps-uncap,0.9,21.31204605102539,4.242897033691406,5.344867706298828
mps-uncap,1.0,21.60468101501465,4.316568374633789,5.326986312866211
mps-uncap,0.5,21.535277366638184,4.31060791015625,5.221366882324219
mps-uncap,0.6,21.324443817138672,4.250597953796388,5.219388008117676
mps-uncap,0.7,21.418380737304688,4.2705535888671875,5.072331428527832
mps-uncap,0.1,24.785137176513675,9.422540664672852,11.449670791625977
mps-uncap,0.2,23.45058917999268,7.055807113647461,8.144807815551758
mps-uncap,0.3,22.36461639404297,4.781055450439453,5.7010650634765625
mps-uncap,0.4,21.862316131591797,4.461526870727539,5.404973030090332
