mode,load,0_densenet201-2,1_mobilenet_v2-4,2_mobilenet_v3_large-8
mps-uncap,0.8,96.40844011653311,949.2704604326581,1587.7477969308136
mps-uncap,0.9,95.79930228549615,963.7789196287741,1568.4772937760256
mps-uncap,1.0,94.55077062045724,951.2658366121677,1546.0220685558245
mps-uncap,0.5,77.58444926968707,846.7128580312741,1334.0771088282977
mps-uncap,0.6,95.18868299577947,961.6158714776783,1565.9983647414008
mps-uncap,0.7,95.32978291002749,958.9651660574988,1612.4783649478834
mps-uncap,0.1,15.550652996924633,168.49568583650552,274.5829698154393
mps-uncap,0.2,32.36344611946456,332.35937863641504,528.0613963441112
mps-uncap,0.3,46.881940184446904,507.095681560223,817.9954440815933
mps-uncap,0.4,65.65106920874192,660.3194083533592,1061.5420111474623
