mode,load,0_densenet201-2,1_mobilenet_v2-4,2_mobilenet_v3_large-8
mps-uncap,0.8,7136.805057525635,8223.371982574463,8278.203010559082
mps-uncap,0.9,10004.196643829346,10389.149188995361,11086.708903312683
mps-uncap,1.0,12232.950925827026,12695.2486038208,12793.51282119751
mps-uncap,0.5,55.9544563293457,14.554738998413086,14.754652976989746
mps-uncap,0.6,349.08831119537354,1067.5419569015503,1365.9440279006958
mps-uncap,0.7,4985.3270053863525,4976.444482803345,4163.054823875427
mps-uncap,0.1,23.13065528869629,8.98432731628418,10.462522506713867
mps-uncap,0.2,22.95827865600586,5.802631378173828,6.6432952880859375
mps-uncap,0.3,23.416996002197266,5.2337646484375,6.314754486083984
mps-uncap,0.4,36.18025779724121,7.249593734741211,8.626103401184082
