mode,load,0_densenet161-8,1_efficientnet_b5-8,2_inception_v3-32
mps-uncap,0.8,58.98599624633789,56.64639472961428,54.051399230957045
mps-uncap,0.9,132.80806541442874,102.58364677429199,95.93186378479002
mps-uncap,1.0,893.6484813690186,1576.7879009246826,420.34521102905273
mps-uncap,0.5,32.50885009765626,29.56831455230713,27.30715274810791
mps-uncap,0.6,38.70544433593752,32.14685916900635,31.954646110534668
mps-uncap,0.7,56.2011241912842,41.407752037048354,40.6651496887207
mps-uncap,0.1,24.53141212463379,22.433996200561523,13.817262649536133
mps-uncap,0.2,26.900863647460945,27.35304832458496,16.079568862915043
mps-uncap,0.3,27.286362648010254,25.498056411743175,20.709800720214844
mps-uncap,0.4,29.79757785797119,27.632308006286625,24.094820022583015
