mode,load,0_densenet161-8,1_efficientnet_b5-8,2_inception_v3-32
mps-uncap,0.8,28.966417312622063,24.576406478881836,19.238770008087158
mps-uncap,0.9,29.48065757751465,25.01878738403321,19.41686630249023
mps-uncap,1.0,29.983491897583008,25.605008602142338,19.79771137237549
mps-uncap,0.5,26.99681282043457,23.648333549499522,18.691372871398926
mps-uncap,0.6,25.911765098571774,23.778617382049564,19.621658325195316
mps-uncap,0.7,28.416624069213864,24.105296134948716,19.030046463012695
mps-uncap,0.1,24.808599948883057,23.635778427124027,14.795255661010724
mps-uncap,0.2,26.3446044921875,23.58274459838867,17.389173507690447
mps-uncap,0.3,26.155488491058346,23.759231567382812,17.763633728027344
mps-uncap,0.4,26.956372261047367,23.359274864196788,19.40891504287719
