mode,load,0_densenet161-8,1_efficientnet_b5-8,2_inception_v3-32
mps-uncap,0.8,227.58267506092452,274.80703300453257,1320.8106584762138
mps-uncap,0.9,258.12477046927944,307.5396216035301,1524.4349469625572
mps-uncap,1.0,292.60481063826694,350.7281369521462,1722.373850321631
mps-uncap,0.5,142.53990059344372,171.0120433960899,824.9257361067465
mps-uncap,0.6,175.7720359120548,202.09768931779237,1052.3696403512456
mps-uncap,0.7,203.37813718499945,253.58316014145552,1207.9808345741892
mps-uncap,0.1,29.075724045263133,33.397709770812305,159.78696524451175
mps-uncap,0.2,61.59159319156074,68.80548957149585,352.8766878916675
mps-uncap,0.3,89.43210617527221,101.62566296649676,502.37736897578617
mps-uncap,0.4,117.3050339712983,139.4233836089408,680.1864709838842
