mode,load,0_inception_v3-16,1_inception_v3-16,2_inception_v3-16,3_inception_v3-16
mig,0.1,15.961885452270508,16.167783737182614,16.23082160949707,29.8583984375
mig,0.2,16.017253398895264,16.149158477783203,16.106369495391846,29.987614154815674
mig,0.3,16.115553379058838,16.206305027008057,16.191160678863525,30.04556655883789
mig,0.4,16.10459566116333,16.233644485473633,16.21967077255249,29.9837064743042
mig,0.5,16.109771728515625,16.231393814086914,16.247355937957764,30.02185344696045
mig,0.6,16.152174472808838,16.242899894714355,16.245555877685547,30.046210289001465
mig,0.7,16.138544082641598,16.249799728393555,16.267147064208984,30.05207061767578
mig,0.8,16.15898609161377,16.265995502471924,16.28255844116211,30.047373771667477
mig,0.9,16.164541244506836,16.284799575805664,16.296207904815674,30.04622459411621
mig,1.0,16.14236831665039,16.23973846435547,16.234397888183594,30.04133701324463
