mode,load,0_inception_v3-16,1_inception_v3-16,2_inception_v3-16,3_inception_v3-16
mig,0.1,98.00493007815948,96.61235844287371,92.92692420779284,59.41141028684241
mig,0.2,193.00209136315806,200.58186412972714,194.0562884860194,110.78391452847313
mig,0.3,303.08577460637855,286.8994709440352,276.6279228585964,156.5561591645685
mig,0.4,402.9529219528658,393.3507797309724,401.1003627703361,193.4522829814978
mig,0.5,501.2461041462368,491.2933492665076,489.83177774827425,262.483381787787
mig,0.6,580.6316060743401,585.8133231211618,594.6003194924122,325.75028170278335
mig,0.7,695.6561475866242,693.6511660592942,692.1940046305706,367.57964140470926
mig,0.8,817.7302218564117,807.5757358081619,794.1670235347583,421.034021542176
mig,0.9,915.2964325276064,926.6627119250363,904.2048063115931,472.7700052323628
mig,1.0,1009.2735556785972,943.4469984887908,999.7832070212592,514.1402523440643
