mode,load,0_inception_v3-16,1_inception_v3-16,2_inception_v3-16,3_inception_v3-16
mig,0.1,15.820980072021484,15.950441360473633,15.913963317871094,29.616832733154297
mig,0.2,15.796184539794922,15.908956527709961,15.914678573608398,29.651165008544922
mig,0.3,15.78211784362793,15.890836715698242,15.875101089477539,29.63399887084961
mig,0.4,15.770673751831055,15.893220901489258,15.873908996582031,29.620885848999023
mig,0.5,15.769720077514648,15.904664993286133,15.879392623901367,29.620885848999023
mig,0.6,15.773296356201172,15.876531600952148,15.87986946105957,29.62493896484375
mig,0.7,15.784025192260742,15.901327133178711,15.897512435913086,29.660940170288086
mig,0.8,15.780925750732422,15.901803970336914,15.903711318969727,29.66785430908203
mig,0.9,15.807628631591797,15.93327522277832,15.929222106933594,29.677629470825195
mig,1.0,15.829324722290039,15.924453735351562,15.957355499267578,29.712677001953125
