mode,load,0_efficientnet_b5-8,1_resnet152-8,2_vgg11-4
mps-uncap,0.8,24.044430255889893,27.505638599395752,4.3409156799316415
mps-uncap,0.9,25.647366046905514,26.300058364868164,4.526491165161133
mps-uncap,1.0,25.23094415664673,28.75126361846924,4.641385078430176
mps-uncap,0.5,22.22023248672484,22.39289999008179,3.914861679077149
mps-uncap,0.6,23.141231536865227,23.38094949722291,4.111967086791994
mps-uncap,0.7,23.020243644714355,26.544351577758786,4.228103160858156
mps-uncap,0.1,22.621660232543945,18.23266744613647,3.158807754516601
mps-uncap,0.2,22.601661682128903,20.048787593841546,3.511905670166013
mps-uncap,0.3,22.997756004333496,19.683103561401367,3.635697364807129
mps-uncap,0.4,23.90568733215332,21.60682678222657,3.7217140197753897
