mode,load,0_efficientnet_b5-8,1_resnet152-8,2_vgg11-4
mps-uncap,0.8,259.71689762125686,252.24417897865806,908.9791349547835
mps-uncap,0.9,287.89206737095674,279.1758216441474,997.6526261329825
mps-uncap,1.0,307.75989434407285,309.3526757684683,1127.3756930061195
mps-uncap,0.5,163.1734049152761,152.08494935199727,541.9631436663046
mps-uncap,0.6,184.51476463561528,186.67509086935257,665.2658340884319
mps-uncap,0.7,235.52615320612563,222.7351301527419,783.8482950239223
mps-uncap,0.1,26.50287788808035,35.3656496231222,115.08047479359988
mps-uncap,0.2,64.71631588772819,61.139908932858944,230.76179978677837
mps-uncap,0.3,91.18357904857395,91.09731693275504,338.27893301322933
mps-uncap,0.4,121.7704725874556,125.32898738468961,448.11584785284816
