mode,load,0_resnet101-32,1_resnet101-32,2_resnet101-32,3_resnet101-32
mig,0.1,51.141392284268015,47.237614272642766,51.1893421238081,27.253031113449534
mig,0.2,95.95855588388643,89.35871883535296,108.8432527483716,47.968231784189406
mig,0.3,157.11307378401116,146.57520303591573,160.3650358892571,81.99234141265575
mig,0.4,207.95900331886392,207.32810235560106,206.5654493116677,112.37338815984253
mig,0.5,265.72585933572594,294.52265300373404,255.15095469217346,120.45624104382865
mig,0.6,309.6668360348262,304.06389332410987,318.9656061184943,151.11510770304028
mig,0.7,366.13345721942466,357.1899096410718,361.408209027896,171.46634429765962
mig,0.8,392.89639276918916,396.40490864463334,408.47594288936375,204.76814804671827
mig,0.9,453.3238931184457,445.76676517611327,442.6995450495999,223.99980568843202
mig,1.0,458.3664953193001,454.6951091285423,452.1864847550203,229.82400557898714
