mode,load,0_densenet121-32,1_densenet201-8,2_mobilenet_v3_small-4
mps-uncap,0.8,1286.0274800185928,223.57712890879912,763.3669161811579
mps-uncap,0.9,1403.166914864757,272.30447930464476,871.9996328976683
mps-uncap,1.0,1552.577228015966,297.32936712858134,974.0622386159492
mps-uncap,0.5,758.3953127274194,149.616921813553,490.21759933048463
mps-uncap,0.6,912.3919154563914,172.90166473843962,590.079466886181
mps-uncap,0.7,1069.5198727436841,201.04209064475586,681.1848360957441
mps-uncap,0.1,146.68684901316277,28.771011841141128,100.7554335168037
mps-uncap,0.2,300.91612450046927,57.905802389457975,192.6754850084767
mps-uncap,0.3,440.6384516892174,82.96800451381635,293.85815783440216
mps-uncap,0.4,624.5179377931362,122.15639221301713,397.99688306403243
