mode,load,0_densenet121-32,1_densenet201-8,2_mobilenet_v3_small-4
mps-uncap,0.8,15.334129333496094,12.065887451171875,2.2726058959960938
mps-uncap,0.9,15.371561050415039,12.143135070800781,2.3484230041503906
mps-uncap,1.0,16.81375503540039,12.109518051147461,2.311229705810547
mps-uncap,0.5,15.338420867919922,11.932849884033203,2.330780029296875
mps-uncap,0.6,15.328645706176758,12.094736099243164,2.2809505462646484
mps-uncap,0.7,15.409708023071289,11.893510818481445,2.335786819458008
mps-uncap,0.1,15.357494354248047,11.99197769165039,2.3272037506103516
mps-uncap,0.2,15.336275100708008,12.070655822753906,2.3429393768310547
mps-uncap,0.3,15.345573425292969,11.992931365966797,2.3152828216552734
mps-uncap,0.4,15.40684700012207,11.910676956176758,2.3047924041748047
