mode,load,0_densenet121-32,1_densenet201-8,2_mobilenet_v3_small-4
mps-uncap,0.8,205.03520965576172,134.4015598297119,44.55900192260742
mps-uncap,0.9,272.0835208892822,382.89403915405273,68.07684898376465
mps-uncap,1.0,1363.7182712554932,576.1520862579346,1637.5179290771484
mps-uncap,0.5,86.70949935913086,76.72476768493652,25.776386260986328
mps-uncap,0.6,82.4894905090332,82.23485946655273,23.93054962158203
mps-uncap,0.7,219.27475929260254,104.24137115478516,39.64710235595703
mps-uncap,0.1,24.86395835876465,30.966758728027344,11.619091033935547
mps-uncap,0.2,27.13298797607422,31.01825714111328,19.577980041503906
mps-uncap,0.3,44.234514236450195,36.810874938964844,24.7952938079834
mps-uncap,0.4,69.71859931945801,49.89767074584961,25.109052658081055
