mode,load,0_densenet121-32,1_densenet201-8,2_mobilenet_v3_small-4
mps-uncap,0.8,177.0645594596864,118.68881225585933,24.99955415725709
mps-uncap,0.9,252.26942062377933,302.69442796707176,52.23791122436525
mps-uncap,1.0,1346.739966869354,563.7104487419127,1605.0021648406982
mps-uncap,0.5,78.38238716125494,71.90254926681523,17.947864532470703
mps-uncap,0.6,82.66709804534902,74.85457897186281,17.970726490020763
mps-uncap,0.7,120.17657518386841,90.1142406463623,21.299638748168967
mps-uncap,0.1,30.525159835815437,46.2723731994629,13.592820167541504
mps-uncap,0.2,34.85850095748902,39.46132659912108,17.103996276855472
mps-uncap,0.3,45.90640068054201,43.878045082092314,18.905029296875
mps-uncap,0.4,58.90685319900515,49.92597341537475,19.462399482727044
