mode,load,0_resnet101-2,1_resnet152-8,2_resnet50-4
mps-uncap,0.8,29.419655799865712,80.08864402770998,24.898142814636135
mps-uncap,0.9,47.24409103393552,178.34687948226895,49.69877719879138
mps-uncap,1.0,190.51385879516596,687.3637986183167,177.17981338500982
mps-uncap,0.5,21.042001247405963,29.209575653076172,12.770776748657225
mps-uncap,0.6,20.658392906188947,31.006646156310996,14.014949798583986
mps-uncap,0.7,30.197229385375937,53.632509708404406,17.16256141662598
mps-uncap,0.1,12.254457473754883,17.57842779159537,6.504800319671619
mps-uncap,0.2,15.36221742630006,23.23893070220946,9.097564220428477
mps-uncap,0.3,20.983316898345944,25.760498046875057,11.605443954467765
mps-uncap,0.4,24.27362680435181,25.78742504119872,13.22237730026245
