mode,load,0_resnet101-2,1_resnet152-8,2_resnet50-4
mps-uncap,0.8,8.220434188842773,15.27719497680664,5.357170104980469
mps-uncap,0.9,8.411312103271484,15.819072723388672,5.571699142456055
mps-uncap,1.0,9.423637390136719,15.02227783203125,5.856513977050781
mps-uncap,0.5,9.715652465820312,13.91892433166504,6.362676620483399
mps-uncap,0.6,9.14621353149414,14.008402824401855,5.521678924560548
mps-uncap,0.7,8.771991729736326,14.641284942626953,5.092859268188477
mps-uncap,0.1,12.674093246459961,18.504619598388672,6.90007209777832
mps-uncap,0.2,13.131237030029297,18.60747337341309,6.892800331115723
mps-uncap,0.3,13.324451446533203,18.773746490478516,6.73980712890625
mps-uncap,0.4,11.74144744873047,15.367913246154776,6.7284345626831055
