mode,load,0_vgg16-16,1_vgg16-16,2_vgg16-16,3_vgg16-16
mig,0.1,47.80981107357982,48.551864566087524,46.09295387638192,23.87916845743482
mig,0.2,98.6352291303563,87.25961172969107,96.27920950508937,51.50707411551516
mig,0.3,123.7386824880561,143.01841124321024,126.9898140693739,70.84578841062857
mig,0.4,192.7023969559021,187.48724482677068,175.81031462279762,96.1007787543044
mig,0.5,218.46571624655482,245.076054896696,223.66621302248268,115.1951256569731
mig,0.6,289.57018010091997,281.40311044563447,276.7793878165925,138.76411415627257
mig,0.7,326.24678008964395,321.9635035411749,323.22655328557283,164.69603730719209
mig,0.8,348.89264433504053,369.27389034007194,399.7287265033331,190.59921873838394
mig,0.9,411.2172808872572,422.7099013788899,399.0738732225427,205.52008918253225
mig,1.0,462.0330654273492,463.60453008261567,452.4349268979061,228.49129400628476
