mode,load,0_alexnet-8,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.8,10.47062873840332,23.748159408569336,17.7457332611084
mps-uncap,0.9,10.193347930908203,26.85546875,19.485950469970703
mps-uncap,1.0,13.066291809082031,28.752803802490234,19.28997039794922
mps-uncap,0.5,15.120744705200195,17.88496971130371,13.180971145629883
mps-uncap,0.6,13.385772705078125,23.508787155151367,21.864891052246094
mps-uncap,0.7,6.485223770141602,22.008657455444336,18.798351287841797
mps-uncap,0.1,12.420177459716797,30.593156814575195,22.825241088867188
mps-uncap,0.2,15.115022659301758,29.599428176879883,21.06928825378418
mps-uncap,0.3,11.316776275634766,29.871225357055664,17.551183700561523
mps-uncap,0.4,11.34181022644043,19.278526306152344,16.878843307495117
