mode,load,0_vgg13-8,1_vgg13-8,2_vgg13-8,3_vgg13-8
mig,0.1,15.01007080078125,15.067875385284424,15.099060535430908,29.278340339660645
mig,0.2,15.032362937927244,15.057559013366697,15.07375717163086,29.265761375427246
mig,0.3,14.980535507202148,14.995813369750977,15.052876472473145,29.20433759689331
mig,0.4,14.974596500396729,15.008711814880371,15.060949325561523,29.249603748321533
mig,0.5,14.969289302825928,15.028676986694336,15.049145221710205,29.29558753967285
mig,0.6,15.077838897705076,15.123424530029297,15.173478126525879,29.57498788833618
mig,0.7,15.204746723175049,15.25580644607544,15.281553268432615,29.773645401000977
mig,0.8,15.310468673706053,15.37121295928955,15.413246154785156,29.999852180480957
mig,0.9,15.402393341064453,15.456602573394775,15.493378639221191,30.126028060913086
mig,1.0,15.483992099761963,15.529894828796387,15.579345226287842,30.236473083496094
