mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,59.1275691986084,278.1493663787842,55.39298057556152
mig,0.6,97.97906875610352,43.04933547973633,387.2718811035156
mps-uncap,0.7,69.45204734802246,7713.1311893463135,67.32964515686035
mig,0.7,173.62380027770996,44.78120803833008,365.30613899230957
mps-uncap,0.8,82.36432075500488,23296.050548553467,80.39307594299316
mig,0.8,303.47275733947754,66.6193962097168,363.43836784362793
mps-uncap,0.9,107.84029960632324,37171.165466308594,130.63454627990723
mig,0.9,404.2835235595703,218.9311981201172,742.755651473999
mps-uncap,1.0,197.51811027526855,49669.129848480225,123.64506721496582
mig,1.0,1912.778615951538,857.6302528381348,3101.6335487365723
mps-uncap,1.1,164.0920639038086,58402.47130393982,174.14569854736328
mig,1.1,8532.779932022095,9519.028425216675,10149.07956123352
mps-uncap,1.2,282.00602531433105,66800.67801475525,165.67707061767578
mig,1.2,15556.551694869995,12900.22087097168,12738.331079483032
mps-uncap,1.3,1457.3428630828857,75244.7817325592,278.4745693206787
mig,1.3,19751.52325630188,19475.558280944824,22277.320861816406
