mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,10.2691650390625,5.03695011138916,15.488862991333008
mig,0.6,18.727779388427734,4.914999008178711,41.19372367858887
mps-uncap,0.7,10.5133056640625,4.996061325073242,17.17662811279297
mig,0.7,18.765926361083984,4.979133605957031,41.387319564819336
mps-uncap,0.8,10.647296905517578,5.084514617919922,19.666433334350586
mig,0.8,18.943190574645996,4.822015762329102,41.67616367340088
mps-uncap,0.9,10.951757431030273,5.137920379638672,20.889997482299805
mig,0.9,19.112586975097656,4.8999786376953125,41.8546199798584
mps-uncap,1.0,11.696219444274902,7.473349571228027,22.309064865112305
mig,1.0,19.302845001220703,4.898548126220703,42.26493835449219
mps-uncap,1.1,12.536048889160156,10.245442390441895,23.18871021270752
mig,1.1,19.315719604492188,4.966259002685547,42.2511100769043
mps-uncap,1.2,13.507366180419922,11.13879680633545,23.8724946975708
mig,1.2,19.32680606842041,4.847526550292969,42.32144355773926
mps-uncap,1.3,14.264583587646484,19.256591796875,24.781107902526855
mig,1.3,19.3479061126709,4.785060882568359,42.30046272277832
