mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,16.863703727722168,11.992907524108885,23.761391639709473
mig,0.6,20.307445526123047,5.539417266845703,42.67101287841797
mps-uncap,0.7,17.46921539306641,12.638092041015625,24.250030517578125
mig,0.7,20.433425903320312,5.4497480392456055,42.90299415588379
mps-uncap,0.8,17.560482025146484,14.336395263671864,25.138497352600098
mig,0.8,20.45137882232666,5.270814895629883,43.27890872955322
mps-uncap,0.9,17.846059799194336,19.506573677062992,25.761079788208008
mig,0.9,20.630979537963867,5.252838134765625,43.27554702758789
mps-uncap,1.0,18.327307701110836,24.568629264831547,25.995969772338867
mig,1.0,20.778656005859375,5.20482063293457,43.674468994140625
mps-uncap,1.1,18.560075759887695,30.52768707275391,26.395726203918457
mig,1.1,20.676660537719734,5.218029022216797,43.585872650146484
mps-uncap,1.2,18.836450576782227,34.6465826034546,26.75619125366211
mig,1.2,20.473718643188477,5.099916458129884,43.523311614990234
mps-uncap,1.3,19.064807891845703,39.93034362792969,27.114462852478027
mig,1.3,20.78566551208496,5.151271820068359,43.69831085205078
