mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,32.286951541900486,191.51744604110712,32.18275308609009
mig,0.6,64.60350513458248,22.800989151000977,296.72803401947044
mps-uncap,0.7,36.958417892456055,7569.917678833008,41.905975341796825
mig,0.7,117.18347072601324,30.388448238372803,269.9642562866211
mps-uncap,0.8,47.09968566894534,23051.102437973022,40.552818775176966
mig,0.8,205.7053923606872,43.43673706054688,293.15418958663946
mps-uncap,0.9,71.67477607727055,36840.14507293701,66.44791603088376
mig,0.9,328.3336544036864,162.25895881652838,609.6453428268435
mps-uncap,1.0,115.2379775047304,49437.73333787918,85.38667201995823
mig,1.0,1814.27983045578,825.8730697631835,3008.4347915649414
mps-uncap,1.1,112.92172908782948,58099.63210821152,105.88904619216923
mig,1.1,8385.401878356934,9440.75745820999,10019.031896591187
mps-uncap,1.2,219.5008087158203,65860.64985513687,118.54941129684441
mig,1.2,15348.784022331238,12752.224483489992,12411.18559837341
mps-uncap,1.3,1336.6459703445435,74197.48471975327,210.00759601593157
mig,1.3,19445.283827781685,19149.98094558716,21911.519348621365
