mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,25.265669822692875,110.94219684600827,31.418919563293457
mig,0.6,53.04083824157714,15.845584869384773,122.2168922424317
mps-uncap,0.7,28.369426727294925,7363.799333572388,34.75046157836914
mig,0.7,73.3942985534668,20.06995677947998,152.27632522583008
mps-uncap,0.8,32.22966194152832,21172.421264648438,39.19064998626709
mig,0.8,114.77370262145995,26.752090454101562,230.98721504211423
mps-uncap,0.9,43.55812072753906,33569.96760368347,49.85930919647217
mig,0.9,201.08861923217776,58.77265930175783,373.5349416732789
mps-uncap,1.0,56.915640830993645,44431.807780265815,59.051227569580085
mig,1.0,1621.2308406829834,752.4295806884766,2324.268627166749
mps-uncap,1.1,75.32391548156738,53510.69092750551,71.7160224914551
mig,1.1,7828.957438468933,8648.020219802856,8781.971645355226
mps-uncap,1.2,129.76713180541998,59165.8575296402,80.85098266601567
mig,1.2,13546.121335029602,11477.645587921144,11113.06095123291
mps-uncap,1.3,1041.4585590362549,67169.83234882355,125.67033767700195
mig,1.3,17667.920303344727,17258.095741271973,19972.8444814682
