mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,12.835741043090824,103.22971343994139,13.225078582763672
mig,0.6,33.536434173583984,10.888814926147468,80.77354431152351
mps-uncap,0.7,15.682601928710946,7357.417583465576,15.959739685058594
mig,0.7,54.403066635131836,15.013051033020018,111.4401340484619
mps-uncap,0.8,19.75250244140625,21165.444374084473,18.930435180664062
mig,0.8,95.37272453308105,21.837663650512695,188.68665695190427
mps-uncap,0.9,29.856300354003906,33562.120246887214,27.473831176757823
mig,0.9,181.929349899292,53.70450019836426,330.5322885513306
mps-uncap,1.0,42.301321029663086,44401.89993381502,36.071157455444336
mig,1.0,1601.7150163650513,747.5658416748047,2281.799936294556
mps-uncap,1.1,60.947322845458984,53483.95664691926,48.567628860473654
mig,1.1,7809.508514404297,8643.09253692627,8739.884853363037
mps-uncap,1.2,114.02750015258792,59158.82046222687,55.8337688446045
mig,1.2,13526.794576644896,11472.761678695679,11070.608019828796
mps-uncap,1.3,1029.0290355682375,67128.23843955994,101.07083320617677
mig,1.3,17648.69146347046,17253.14817428589,19930.105209350586
