mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,20.802309513092034,27.88026571273803,27.62162685394287
mig,0.6,21.901264190673825,6.665601730346679,44.104599952697754
mps-uncap,0.7,21.00212097167968,29.284000396728427,27.888107299804684
mig,0.7,21.83847427368164,6.363356113433839,44.37504768371582
mps-uncap,0.8,20.76780796051026,33.34967613220219,27.84795761108398
mig,0.8,21.965045928955078,6.273393630981446,44.79800462722778
mps-uncap,0.9,20.857830047607422,37.83281803131104,28.330059051513665
mig,0.9,22.11194038391113,6.307849884033203,44.98894214630128
mps-uncap,1.0,21.182889938354496,40.91299772262573,28.825364112854
mig,1.0,22.434709072113037,6.34571075439453,45.46854019165039
mps-uncap,1.1,21.240482330322262,41.56450271606446,28.524639606475834
mig,1.1,22.430918216705322,6.32244348526,45.26981830596924
mps-uncap,1.2,21.28866195678711,43.1162190437317,28.85488986968994
mig,1.2,22.122588157653812,6.159276962280274,45.49180269241333
mps-uncap,1.3,21.588048934936523,44.69752311706543,29.628839492797887
mig,1.3,22.306098937988285,6.22138023376465,45.279085636138916
