mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,23.270368576049805,42.53435134887695,32.9289436340332
mig,0.6,23.52118492126465,13.002395629882812,45.53556442260742
mps-uncap,0.7,23.272991180419922,44.777870178222656,30.792951583862305
mig,0.7,24.39093589782715,17.844200134277344,48.16269874572754
mps-uncap,0.8,25.00438690185547,45.91703414916992,31.182050704956055
mig,0.8,28.056621551513672,14.244794845581055,46.320199966430664
mps-uncap,0.9,24.138927459716797,45.629262924194336,31.564712524414062
mig,0.9,31.895160675048828,16.216754913330078,47.400474548339844
mps-uncap,1.0,23.89073371887207,45.838117599487305,31.91518783569336
mig,1.0,24.16539192199707,14.919519424438477,48.01368713378906
mps-uncap,1.1,24.708986282348633,46.11659049987793,31.28528594970703
mig,1.1,34.871578216552734,17.54021644592285,46.63395881652832
mps-uncap,1.2,23.73504638671875,47.730445861816406,32.17339515686035
mig,1.2,23.93651008605957,15.861034393310547,46.76938056945801
mps-uncap,1.3,24.285316467285156,46.49472236633301,32.01484680175781
mig,1.3,24.642229080200195,18.13197135925293,48.203468322753906
