mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,497.9022599249103,959.404252496295,231.48580373543754
mig,0.6,480.52806548538814,958.6804420194358,220.47604677224044
mps-uncap,0.7,562.7258553171818,1044.3252718537706,264.735482266416
mig,0.7,589.675389614773,1105.102364263549,262.08470066758696
mps-uncap,0.8,646.4013479978712,950.8187561321308,295.32135702086174
mig,0.8,659.6002738697506,1282.9136929712126,306.00259970197953
mps-uncap,0.9,757.3115724151708,844.2243551936284,329.3382632578131
mig,0.9,715.8687111460773,1423.7777428162167,321.98682845262374
mps-uncap,1.0,815.7091005870516,726.8873444268154,375.0348099361034
mig,1.0,808.8460411117233,1591.820658443595,367.09594860934874
mps-uncap,1.1,870.8679202513171,624.7154802152828,421.2734824840266
mig,1.1,816.2051525581891,1582.0726516278814,376.4983510024349
mps-uncap,1.2,945.7392211865082,513.3975204703905,459.748238550834
mig,1.2,817.2889948577189,1621.8405574816334,375.60400181225395
mps-uncap,1.3,1080.7560365890918,353.20950315178857,483.4693075259964
mig,1.3,814.4012651195615,1635.043667789161,375.9241912418418
