mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,12.090682983398438,31.638026237487793,19.254207611083984
mig,0.6,24.278879165649414,7.19141960144043,53.88021469116211
mps-uncap,0.7,13.452768325805664,4346.6198444366455,20.493745803833008
mig,0.7,33.07318687438965,8.794665336608887,68.70341300964355
mps-uncap,0.8,15.399694442749023,11898.782730102539,22.14181423187256
mig,0.8,44.06404495239258,10.910749435424805,93.25683116912842
mps-uncap,0.9,17.413616180419922,19329.756140708923,23.607850074768066
mig,0.9,65.70982933044434,19.48070526123047,123.92699718475342
mps-uncap,1.0,21.07381820678711,26256.406545639038,25.177001953125
mig,1.0,368.4016466140747,533.3232879638672,460.984468460083
mps-uncap,1.1,26.376962661743164,29935.31322479248,28.357625007629395
mig,1.1,3339.891791343689,4681.312918663025,5579.947710037231
mps-uncap,1.2,37.95337677001953,29893.079161643982,34.27720069885254
mig,1.2,7306.978940963745,6332.283020019531,5816.08772277832
mps-uncap,1.3,327.4660110473633,34989.46762084961,47.36316204071045
mig,1.3,9367.157459259033,9339.28108215332,10255.760550498962
