mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,8.633852005004883,4.825592041015625,11.757850646972656
mig,0.6,18.105506896972656,4.748821258544922,40.23241996765137
mps-uncap,0.7,8.778810501098633,4.822254180908203,12.444496154785156
mig,0.7,18.137216567993164,4.817962646484375,40.21048545837402
mps-uncap,0.8,8.873224258422852,4.836797714233398,12.464523315429688
mig,0.8,18.131494522094727,4.706144332885742,40.273427963256836
mps-uncap,0.9,8.77523422241211,4.818201065063477,12.433052062988281
mig,0.9,18.091201782226562,4.7969818115234375,40.26532173156738
mps-uncap,1.0,8.878946304321289,4.801511764526367,12.366533279418945
mig,1.0,18.141508102416992,4.791498184204102,40.70711135864258
mps-uncap,1.1,8.848905563354492,4.805088043212891,12.527227401733398
mig,1.1,18.15629005432129,4.86302375793457,40.53783416748047
mps-uncap,1.2,8.913516998291016,4.803895950317383,12.41302490234375
mig,1.2,18.28765869140625,4.726886749267578,40.47679901123047
mps-uncap,1.3,9.06229019165039,4.797697067260742,12.751102447509766
mig,1.3,18.384695053100586,4.673957824707031,41.014671325683594
