mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,71.11549377441406,288.70439529418945,79.93221282958984
mig,0.6,117.54059791564941,47.87921905517578,427.9446601867676
mps-uncap,0.7,79.42533493041992,7719.323396682739,86.04645729064941
mig,0.7,191.82109832763672,49.71051216125488,406.29029273986816
mps-uncap,0.8,92.24939346313477,23305.63712120056,105.4081916809082
mig,0.8,322.0229148864746,71.43020629882812,404.2072296142578
mps-uncap,0.9,124.13620948791504,37183.74752998352,158.16330909729004
mig,0.9,424.46231842041016,224.61724281311035,784.6908569335938
mps-uncap,1.0,210.39247512817383,49684.05318260193,150.36892890930176
mig,1.0,1932.347297668457,862.476110458374,3144.9904441833496
mps-uncap,1.1,181.9589138031006,58430.748462677,200.15549659729004
mig,1.1,8552.050113677979,9523.960828781128,10191.376447677612
mps-uncap,1.2,291.70703887939453,66827.04424858093,192.84367561340332
mig,1.2,15575.799465179443,12905.007123947144,12780.876874923706
mps-uncap,1.3,1471.8234539031982,75272.9082107544,302.8223514556885
mig,1.3,19773.165225982666,19483.981370925903,22322.04532623291
