mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,8.704185485839844,4.886865615844727,11.774778366088867
mig,0.6,18.119335174560547,4.784345626831055,40.2829647064209
mps-uncap,0.7,8.792638778686523,5.113840103149414,12.46333122253418
mig,0.7,18.165111541748047,4.863739013671875,40.24863243103027
mps-uncap,0.8,8.890867233276367,24.542808532714844,12.481927871704102
mig,0.8,18.155813217163086,4.743337631225586,40.30013084411621
mps-uncap,0.9,8.79359245300293,22.548913955688477,12.449502944946289
mig,0.9,18.209218978881836,4.827976226806641,40.28487205505371
mps-uncap,1.0,8.948326110839844,10.056495666503906,12.437105178833008
mig,1.0,18.177032470703125,4.851102828979492,40.74716567993164
mps-uncap,1.1,8.896589279174805,13.709306716918945,12.600898742675781
mig,1.1,18.169164657592773,5.011320114135742,43.82491111755371
mps-uncap,1.2,8.930206298828125,5.492925643920898,12.431859970092773
mig,1.2,18.30601692199707,4.956483840942383,41.08905792236328
mps-uncap,1.3,9.079456329345703,37.50801086425781,12.767791748046875
mig,1.3,18.415451049804688,4.849433898925781,41.25499725341797
