mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,0.6,0.011682510375976562,0.014066696166992188,0.0133514404296875
mig,0.6,0.01239776611328125,0.011682510375976562,0.013828277587890625
mps-uncap,0.7,0.012636184692382812,0.016450881958007812,0.012874603271484375
mig,0.7,0.012636184692382812,0.012636184692382812,0.013589859008789062
mps-uncap,0.8,0.011205673217773438,0.04267692565917969,0.013113021850585938
mig,0.8,0.011920928955078125,0.011444091796875,0.013589859008789062
mps-uncap,0.9,0.011682510375976562,0.015020370483398438,0.012874603271484375
mig,0.9,0.012874603271484375,0.013828277587890625,0.0133514404296875
mps-uncap,1.0,0.012636184692382812,0.015974044799804688,0.013589859008789062
mig,1.0,0.013828277587890625,0.014066696166992188,0.0133514404296875
mps-uncap,1.1,0.0133514404296875,0.05054473876953125,0.012636184692382812
mig,1.1,0.012874603271484375,0.015497207641601562,0.018596649169921875
mps-uncap,1.2,0.012636184692382812,0.04673004150390625,0.012874603271484375
mig,1.2,0.014543533325195312,0.015735626220703125,0.01811981201171875
mps-uncap,1.3,0.013589859008789062,0.053882598876953125,0.0133514404296875
mig,1.3,0.017642974853515625,0.014781951904296875,0.024080276489257812
