mode,load,0_densenet169-32,1_inception_v3-2,2_squeezenet1_1-16
mps-uncap,0.8,114.59574699401854,36.80717945098877,15.968751907348636
mps-uncap,0.9,184.76274013519284,71.4799642562866,46.94924354553223
mps-uncap,1.0,404.6231985092163,239.8595809936524,80.99079132080078
mps-uncap,0.5,48.007416725158684,20.025277137756362,7.360029220581055
mps-uncap,0.6,59.455442428588874,22.00226783752443,8.952760696411135
mps-uncap,0.7,74.77498054504395,24.442672729492188,13.144731521606445
mps-uncap,0.1,24.972963333129883,12.611889839172363,3.212451934814453
mps-uncap,0.2,28.969383239746094,13.741254806518555,4.143095016479496
mps-uncap,0.3,37.14184761047361,18.261098861694332,5.220842361450197
mps-uncap,0.4,42.3583984375,19.888401031494148,6.441402435302735
