mode,load,0_vgg19-8,1_squeezenet1_1-8,2_squeezenet1_1-8
mps-uncap,1.0,9.595870971679688,6.9657087326049805,7.476398944854736
mig,1.0,15.341370105743406,4.096760749816894,4.188919067382811
