mode,load,0_vgg19-8,1_squeezenet1_1-8,2_squeezenet1_1-8
mps-uncap,1.0,891.2224185050327,1448.8579283544705,1303.8441101709707
mig,1.0,559.3306236948886,2394.216508525786,2378.2168443883183
