mode,load,0_inception_v3-32,1_inception_v3-32,2_inception_v3-32,3_inception_v3-32
mig,0.1,108.0651420873768,105.29580186201578,112.41451174669483,56.4212846151446
mig,0.2,222.6401693448984,218.90568401395348,216.5552047539459,119.55846562324854
mig,0.3,325.87514312415817,337.30597788398586,327.7829864114411,173.77442295100207
mig,0.4,432.85597758173077,448.9443035665732,429.02741474943605,223.3769514077465
mig,0.5,542.4527970916814,516.0765701353024,561.5223814985474,283.8886343029851
mig,0.6,653.1798826742745,642.268124145491,686.2309585084106,338.45323947636035
mig,0.7,791.9625350228788,785.2241182614621,762.9847434866775,372.27565428339216
mig,0.8,900.089079754675,901.5421622679097,856.0788552296142,424.4704900672565
mig,0.9,977.2884986015769,1033.5699131492581,969.0082535503486,524.5460910534458
mig,1.0,1109.457607114078,1109.1192926017306,1099.4143162744635,567.7419541378592
