mode,load,0_inception_v3-32,1_inception_v3-32,2_inception_v3-32,3_inception_v3-32
mig,0.1,28.45478057861328,28.589248657226562,28.59210968017578,55.2983283996582
mig,0.2,28.4574031829834,28.55706214904785,28.59950065612793,55.284976959228516
mig,0.3,28.434038162231445,28.546571731567383,28.580427169799805,55.286407470703125
mig,0.4,28.43928337097168,28.563976287841797,28.589725494384766,55.28974533081055
mig,0.5,28.43952178955078,28.569936752319336,28.567075729370117,55.32121658325195
mig,0.6,28.43618392944336,28.542041778564453,28.60426902770996,55.315256118774414
mig,0.7,28.437376022338867,28.580427169799805,28.58591079711914,55.31620979309082
mig,0.8,28.439760208129883,28.578996658325195,28.60546112060547,55.31764030456543
mig,0.9,28.476953506469727,28.580427169799805,28.575658798217773,55.361032485961914
mig,1.0,28.48029136657715,28.595447540283203,28.61309051513672,55.376291275024414
