mode,load,0_inception_v3-32,1_inception_v3-32,2_inception_v3-32,3_inception_v3-32
mig,0.1,33.782005310058594,45.98593711853027,28.79643440246582,47.84083366394043
mig,0.2,64.43023681640625,82.14378356933594,37.10746765136719,121.15764617919922
mig,0.3,99.56550598144531,54.48746681213379,77.13794708251953,128.9360523223877
mig,0.4,90.65818786621094,94.70987319946289,81.61664009094238,213.05346488952637
mig,0.5,141.4964199066162,105.47542572021484,123.72732162475586,268.20945739746094
mig,0.6,170.95375061035156,125.55980682373047,246.16622924804688,231.44078254699707
mig,0.7,208.2846164703369,275.7375240325928,289.9599075317383,401.6458988189697
mig,0.8,514.2698287963867,369.71378326416016,308.9640140533447,428.7066459655762
mig,0.9,384.4635486602783,842.8695201873779,569.5972442626953,1515.681266784668
mig,1.0,1320.765733718872,1536.4305973052979,1651.982307434082,2315.7548904418945
