mode,load,0_vgg16-32,1_densenet201-2,2_efficientnet_b6-16
mps-uncap,1.0,23.6356258392334,105.09443283081055,116.31369590759277
mig,1.0,41.825294494628906,20.473241806030273,70.76048851013184
