mode,load,0_alexnet-8,1_efficientnet_b6-32,2_squeezenet1_1-4
mps-uncap,0.8,2033.2192343018128,511.85456501245636,599.400737082191
mps-uncap,0.9,2396.6935500936756,608.4738757192091,698.7172526187985
mps-uncap,1.0,2600.651708723517,649.9659132567974,737.3487341860529
mps-uncap,0.5,1304.278505585032,314.7111606939854,382.40123605929773
mps-uncap,0.6,1572.0153408482147,375.2129190467799,452.22869397719745
mps-uncap,0.7,1779.7308399460971,454.57244327873076,531.7666738691213
mps-uncap,0.1,273.4332654257376,60.952684027529926,79.45364362637932
mps-uncap,0.2,531.7766005299849,120.73493725122616,146.2282651366443
mps-uncap,0.3,782.2546884212686,190.15308031579892,234.19702971542986
mps-uncap,0.4,1060.2340640864809,248.56115131424525,304.08994373899145
