mode,load,0_alexnet-8,1_efficientnet_b6-32,2_squeezenet1_1-4
mps-uncap,0.8,2.2281408309936523,44.12412643432617,3.7893056869506836
mps-uncap,0.9,2.2993087768554688,46.27096652984619,4.159688949584961
mps-uncap,1.0,2.5110244750976562,48.93374443054199,4.556894302368164
mps-uncap,0.5,1.3170242309570312,40.58361053466797,2.5031566619873047
mps-uncap,0.6,1.4019012451171875,41.419148445129395,2.5768280029296875
mps-uncap,0.7,1.9385814666748047,42.43350028991699,3.1075477600097656
mps-uncap,0.1,1.2919902801513672,36.31317615509033,2.6227235794067383
mps-uncap,0.2,1.2700557708740234,37.41860389709473,2.543926239013672
mps-uncap,0.3,1.28936767578125,38.29646110534668,2.4662017822265625
mps-uncap,0.4,1.2841224670410156,39.284348487854004,2.492547035217285
