mode,load,0_alexnet-8,1_efficientnet_b6-32,2_squeezenet1_1-4
mps-uncap,0.8,20.757040977478027,293.9398765563962,41.690511703491225
mps-uncap,0.9,33.57099533081054,578.6053419113142,106.4753413200378
mps-uncap,1.0,108.8888931274414,1811.6800117492676,2939.7977423667908
mps-uncap,0.5,7.946310043334943,131.0908126831054,10.798215866088858
mps-uncap,0.6,9.917278289794922,144.2020177841185,15.38336277008057
mps-uncap,0.7,12.655251026153561,147.76067972183228,19.44350719451902
mps-uncap,0.1,1.0751724243164054,29.460823535919193,2.0292520523071493
mps-uncap,0.2,2.5938320159912145,34.61945533752441,3.815059661865216
mps-uncap,0.3,3.6678886413574125,57.02891111373907,5.9219145774841335
mps-uncap,0.4,5.288434028625487,67.27123737335205,9.831645488739014
