mode,load,0_alexnet-8,1_efficientnet_b6-32,2_squeezenet1_1-4
mps-uncap,0.8,0.0073909759521484375,0.016689300537109375,0.008106231689453125
mps-uncap,0.9,0.007867813110351562,0.016689300537109375,0.00762939453125
mps-uncap,1.0,0.00762939453125,0.01621246337890625,0.010013580322265625
mps-uncap,0.5,0.00762939453125,0.013828277587890625,0.007867813110351562
mps-uncap,0.6,0.00762939453125,0.014066696166992188,0.008106231689453125
mps-uncap,0.7,0.007867813110351562,0.0152587890625,0.008106231689453125
mps-uncap,0.1,0.008821487426757812,0.022411346435546875,0.011444091796875
mps-uncap,0.2,0.010013580322265625,0.014781951904296875,0.010728836059570312
mps-uncap,0.3,0.0095367431640625,0.015974044799804688,0.010251998901367188
mps-uncap,0.4,0.0095367431640625,0.015020370483398438,0.008106231689453125
