mode,load,0_alexnet-8,1_efficientnet_b6-32,2_squeezenet1_1-4
mps-uncap,0.8,34.16895866394043,407.5491428375244,67.22164154052734
mps-uncap,0.9,54.81886863708496,664.8604869842529,133.64458084106445
mps-uncap,1.0,136.92402839660645,1915.0335788726807,2972.5615978240967
mps-uncap,0.5,14.380216598510742,153.9475917816162,20.598649978637695
mps-uncap,0.6,18.376588821411133,235.9318733215332,28.792858123779297
mps-uncap,0.7,23.928403854370117,205.22522926330566,31.30960464477539
mps-uncap,0.1,3.914356231689453,32.68885612487793,4.479169845581055
mps-uncap,0.2,8.419990539550781,48.40970039367676,10.509967803955078
mps-uncap,0.3,7.634162902832031,96.0383415222168,14.459609985351562
mps-uncap,0.4,14.995336532592773,89.17665481567383,18.514156341552734
