mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,0.011920928955078125,0.009775161743164062,0.010013580322265625
mps-uncap,0.9,0.010013580322265625,0.01239776611328125,0.0095367431640625
mps-uncap,1.0,0.013589859008789062,0.011920928955078125,0.012159347534179688
mps-uncap,0.5,0.011920928955078125,0.009298324584960938,0.009059906005859375
mps-uncap,0.6,0.011920928955078125,0.0095367431640625,0.009775161743164062
mps-uncap,0.7,0.011682510375976562,0.0095367431640625,0.009775161743164062
mps-uncap,0.1,0.01239776611328125,0.014066696166992188,0.01239776611328125
mps-uncap,0.2,0.012159347534179688,0.011444091796875,0.010013580322265625
mps-uncap,0.3,0.012874603271484375,0.0095367431640625,0.0095367431640625
mps-uncap,0.4,0.01239776611328125,0.0095367431640625,0.010013580322265625
