mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,422.6236343383789,142.6832675933838,138.40579986572266
mps-uncap,0.9,283.4932804107666,1511.423110961914,6203.04012298584
mps-uncap,1.0,2731.4295768737793,8823.190927505493,8805.527687072754
mps-uncap,0.5,58.504343032836914,35.38084030151367,30.9145450592041
mps-uncap,0.6,80.80720901489258,42.90199279785156,44.05951499938965
mps-uncap,0.7,167.35029220581055,86.58003807067871,79.34689521789551
mps-uncap,0.1,32.78636932373047,24.740219116210938,34.81578826904297
mps-uncap,0.2,48.39301109313965,22.656917572021484,30.882596969604492
mps-uncap,0.3,53.10368537902832,19.04582977294922,23.862838745117188
mps-uncap,0.4,70.60718536376953,21.182537078857422,24.78790283203125
