mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,173.59533309936526,50.20408630371095,62.9633665084839
mps-uncap,0.9,125.89581012725831,1340.1530981063843,5460.636711120607
mps-uncap,1.0,2553.374171257019,7775.686621665955,8077.963352203369
mps-uncap,0.5,39.71838951110843,11.88812255859375,13.039922714233397
mps-uncap,0.6,48.40822219848633,15.570306777954103,16.165304183959964
mps-uncap,0.7,67.83266067504884,21.305084228515625,34.17038917541504
mps-uncap,0.1,30.441641807556152,13.543415069580078,13.353824615478517
mps-uncap,0.2,30.38029670715332,13.984394073486328,14.34304714202881
mps-uncap,0.3,31.07893466949463,11.206054687500005,11.75146102905274
mps-uncap,0.4,35.884904861450195,10.15751361846924,11.01348400115967
