mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,29.630661010742188,12.51518726348877,15.482425689697266
mps-uncap,0.9,30.887961387634277,702.0643949508667,3003.9623975753784
mps-uncap,1.0,632.1388483047485,4219.63107585907,4606.158971786499
mps-uncap,0.5,0.025510787963867188,0.9694099426269531,1.5041828155517578
mps-uncap,0.6,3.0508041381835938,2.534151077270508,2.897024154663086
mps-uncap,0.7,10.111093521118164,4.204273223876953,7.3462724685668945
mps-uncap,0.1,0.041365623474121094,0.029802322387695312,0.0286102294921875
mps-uncap,0.2,0.031828880310058594,0.027418136596679688,0.0286102294921875
mps-uncap,0.3,0.026464462280273438,0.021219253540039062,0.021696090698242188
mps-uncap,0.4,0.02384185791015625,0.0209808349609375,0.024318695068359375
