mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,343.7691569328307,104.0896534919737,115.5557370185851
mps-uncap,0.9,202.25450038909912,1484.0835571289065,6111.290993690491
mps-uncap,1.0,2696.6346597671513,8645.396327972412,8638.598194122313
mps-uncap,0.5,64.52801704406737,20.58390617370606,22.868080139160167
mps-uncap,0.6,74.49152708053589,27.96570777893062,27.94695138931274
mps-uncap,0.7,120.19604682922348,54.814815521240234,59.64704751968381
mps-uncap,0.1,48.76821279525757,22.069070339202725,20.335197448730522
mps-uncap,0.2,48.921051025390625,22.06945896148679,23.978376388549822
mps-uncap,0.3,45.357573032379136,17.370767593383796,19.674348831176754
mps-uncap,0.4,60.62040805816654,17.39864110946655,18.08225393295287
