mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,322.52726316452026,99.79870557785034,111.25253200530996
mps-uncap,0.9,182.5576090812683,1479.6855807304382,6106.670188903809
mps-uncap,1.0,2675.016119480133,8640.721213817596,8634.532165527344
mps-uncap,0.5,47.337641716003276,16.21032238006592,18.70989799499512
mps-uncap,0.6,55.23291110992429,23.659110069274725,23.787181377410885
mps-uncap,0.7,101.8215608596801,50.60386657714844,55.21863937377927
mps-uncap,0.1,24.687435626983635,13.734738826751698,12.301168441772479
mps-uncap,0.2,27.89974689483643,15.494213104248002,16.90447568893433
mps-uncap,0.3,27.804720401763902,11.66601181030274,14.864349365234375
mps-uncap,0.4,42.18316555023195,12.99121856689447,13.355829715728744
