mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,22.205400466918945,5.638003349304201,5.11009693145752
mps-uncap,0.9,19.99180316925049,5.807638168334961,5.804204940795899
mps-uncap,1.0,22.535324096679688,5.839705467224121,5.356454849243164
mps-uncap,0.5,20.305252075195316,5.026865005493164,5.2631378173828125
mps-uncap,0.6,21.01128101348877,5.331850051879883,4.848575592041016
mps-uncap,0.7,21.767091751098633,5.020380020141602,5.496835708618166
mps-uncap,0.1,29.82773780822754,9.55817699432373,9.454011917114258
mps-uncap,0.2,27.9740571975708,9.14144515991211,9.03315544128418
mps-uncap,0.3,19.69015598297119,6.990671157836914,7.02815055847168
mps-uncap,0.4,20.010805130004883,5.574536323547363,5.721545219421387
