mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,317.7593364961639,1565.5413398831927,1671.2013236753062
mps-uncap,0.9,338.97308054342665,1716.4219829397316,1720.6319378163291
mps-uncap,1.0,362.3983795039086,1711.62271948295,1805.669359938202
mps-uncap,0.5,196.41969962953831,1003.2775678128154,1035.3041160441185
mps-uncap,0.6,221.19992090345045,1162.7387506600448,1237.157362186384
mps-uncap,0.7,268.58805914551675,1372.0169576883638,1465.2559710682558
mps-uncap,0.1,37.65940274793543,194.3084081322582,206.74998133240044
mps-uncap,0.2,77.513694319341,397.06929839922424,415.7923328711336
mps-uncap,0.3,115.65528412062493,586.9039361578439,641.9607470331787
mps-uncap,0.4,145.9217774766039,800.3278807790496,830.3062244867555
