mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,29.394865036010742,11.887311935424805,13.81230354309082
mps-uncap,0.9,31.661033630371094,17.008066177368164,18.368959426879883
mps-uncap,1.0,33.69450569152832,16.51906967163086,10.473251342773438
mps-uncap,0.5,26.652097702026367,11.948823928833008,9.855031967163086
mps-uncap,0.6,30.229568481445312,14.439105987548828,11.397600173950195
mps-uncap,0.7,27.447223663330078,9.14764404296875,10.378122329711914
mps-uncap,0.1,32.653093338012695,11.520624160766602,11.554718017578125
mps-uncap,0.2,33.8895320892334,18.63694190979004,19.969940185546875
mps-uncap,0.3,29.85382080078125,11.9171142578125,11.164665222167969
mps-uncap,0.4,27.30250358581543,15.340328216552734,9.240865707397461
