mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,23.420648574829098,6.313672065734863,5.717675685882567
mps-uncap,0.9,20.847184658050537,6.274485588073731,6.287617683410645
mps-uncap,1.0,22.992844581604004,6.3069701194763175,5.751361846923828
mps-uncap,0.5,23.290991783142086,6.498908996582031,7.081661224365234
mps-uncap,0.6,23.661575317382812,6.907262802124017,5.913696289062499
mps-uncap,0.7,24.185900688171387,5.910158157348633,6.750812530517573
mps-uncap,0.1,31.274580955505364,9.937026500701903,9.890918731689455
mps-uncap,0.2,30.31453371047974,9.73339557647705,9.622492790222168
mps-uncap,0.3,27.349090576171868,8.325605392456055,8.02361488342285
mps-uncap,0.4,22.80052185058594,7.047457695007324,7.256886959075924
