mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,16.422748565673828,3.905057907104492,4.019975662231445
mps-uncap,0.9,16.958236694335938,4.073858261108398,4.014730453491211
mps-uncap,1.0,17.267227172851562,3.9932727813720703,3.99017333984375
mps-uncap,0.5,16.474485397338867,4.014492034912109,3.975391387939453
mps-uncap,0.6,16.219139099121094,3.964662551879883,4.018545150756836
mps-uncap,0.7,16.176223754882812,3.9827823638916016,4.003047943115234
mps-uncap,0.1,16.414880752563477,4.332780838012695,4.055261611938477
mps-uncap,0.2,16.402006149291992,4.037618637084961,4.00996208190918
mps-uncap,0.3,16.43085479736328,3.9153099060058594,3.953218460083008
mps-uncap,0.4,16.678810119628906,3.9598941802978516,4.053592681884766
